statement,true,animals,cities,companies,elements,facts,generated,inventions,split
United Arab Emirates is a name of a city.,0,0,1,0,0,0,0,0,train
Canada is a name of a country.,1,0,1,0,0,0,0,0,train
Sri Jayawardenepura Kotte is a city in Sri Lanka,1,0,1,0,0,0,0,0,train
Israel is a name of a city.,0,0,1,0,0,0,0,0,train
Belgrade is a name of a city.,1,0,1,0,0,0,0,0,train
Ulan Bator is a name of a city.,1,0,1,0,0,0,0,0,train
Paris is a name of a country.,0,0,1,0,0,0,0,0,train
Lusaka is a name of a city.,1,0,1,0,0,0,0,0,train
Ulan Bator is a name of a country.,0,0,1,0,0,0,0,0,train
Bangkok is a city in Moldova,0,0,1,0,0,0,0,0,train
Georgetown is a city in Ascension Island,1,0,1,0,0,0,0,0,train
Astana is a name of a country.,0,0,1,0,0,0,0,0,train
Lesotho is a name of a city.,0,0,1,0,0,0,0,0,train
Switzerland is a name of a country.,1,0,1,0,0,0,0,0,train
United States Virgin Islands is a name of a city.,0,0,1,0,0,0,0,0,train
Rabat is a name of a city.,1,0,1,0,0,0,0,0,train
Addis Ababa is a city in Uruguay,0,0,1,0,0,0,0,0,train
Sana'a is a city in Suriname,0,0,1,0,0,0,0,0,train
Tirana is a name of a country.,0,0,1,0,0,0,0,0,train
Sarajevo is a city in Bosnia and Herzegovina,1,0,1,0,0,0,0,0,train
San José is a name of a country.,0,0,1,0,0,0,0,0,train
San Salvador is a name of a city.,1,0,1,0,0,0,0,0,train
Banjul is a city in Norway,0,0,1,0,0,0,0,0,train
Jakarta is a city in Indonesia,1,0,1,0,0,0,0,0,train
Asunción is a city in New Caledonia,0,0,1,0,0,0,0,0,train
Amsterdam is a name of a country.,0,0,1,0,0,0,0,0,train
Santo Domingo is a name of a city.,1,0,1,0,0,0,0,0,train
Conakry is a city in Wallis and Futuna,0,0,1,0,0,0,0,0,train
Port Louis is a city in Latvia,0,0,1,0,0,0,0,0,train
Sarajevo is a name of a city.,1,0,1,0,0,0,0,0,train
Brunei is a name of a city.,0,0,1,0,0,0,0,0,train
Suriname is a name of a country.,1,0,1,0,0,0,0,0,train
Bissau is a name of a country.,0,0,1,0,0,0,0,0,train
Estonia is a name of a country.,1,0,1,0,0,0,0,0,train
Seoul is a name of a city.,1,0,1,0,0,0,0,0,train
Turks and Caicos Islands is a name of a country.,1,0,1,0,0,0,0,0,train
Santiago is a city in Chile,1,0,1,0,0,0,0,0,train
Senegal is a name of a city.,0,0,1,0,0,0,0,0,train
Moscow is a name of a city.,1,0,1,0,0,0,0,0,train
Nicaragua is a name of a country.,1,0,1,0,0,0,0,0,train
Nicaragua is a name of a city.,0,0,1,0,0,0,0,0,train
Manila is a name of a country.,0,0,1,0,0,0,0,0,train
Nagorno-Karabakh Republic is a name of a country.,1,0,1,0,0,0,0,0,train
Maseru is a name of a country.,0,0,1,0,0,0,0,0,train
East Timor is a name of a city.,0,0,1,0,0,0,0,0,train
Kathmandu is a name of a country.,0,0,1,0,0,0,0,0,train
Honduras is a name of a country.,1,0,1,0,0,0,0,0,train
Pretoria is a city in Saint Kitts and Nevis,0,0,1,0,0,0,0,0,train
Port Vila is a name of a city.,1,0,1,0,0,0,0,0,train
Pago Pago is a name of a country.,0,0,1,0,0,0,0,0,train
St. John's is a city in Antigua and Barbuda,1,0,1,0,0,0,0,0,train
Minsk is a name of a country.,0,0,1,0,0,0,0,0,train
Bratislava is a name of a city.,1,0,1,0,0,0,0,0,train
Porto-Novo is a name of a country.,0,0,1,0,0,0,0,0,train
Georgetown is a city in Guyana,1,0,1,0,0,0,0,0,train
Norway is a name of a country.,1,0,1,0,0,0,0,0,train
Algiers is a city in Algeria,1,0,1,0,0,0,0,0,train
Port Moresby is a city in Barbados,0,0,1,0,0,0,0,0,train
Panama is a name of a country.,1,0,1,0,0,0,0,0,train
Nairobi is a city in Kenya,1,0,1,0,0,0,0,0,train
Rabat is a city in Morocco,1,0,1,0,0,0,0,0,train
Moldova is a name of a country.,1,0,1,0,0,0,0,0,train
Thimphu is a city in Bhutan,1,0,1,0,0,0,0,0,train
Guinea-Bissau is a name of a city.,0,0,1,0,0,0,0,0,train
Port of Spain is a city in Trinidad and Tobago,1,0,1,0,0,0,0,0,train
Papeete is a name of a city.,1,0,1,0,0,0,0,0,train
Dhaka is a city in Bangladesh,1,0,1,0,0,0,0,0,train
Togo is a name of a country.,1,0,1,0,0,0,0,0,train
Andorra la Vella is a name of a city.,1,0,1,0,0,0,0,0,train
Georgetown is a name of a country.,0,0,1,0,0,0,0,0,train
Oslo is a city in Norway,1,0,1,0,0,0,0,0,train
São Tomé and Príncipe is a name of a country.,1,0,1,0,0,0,0,0,train
Havana is a city in Cuba,1,0,1,0,0,0,0,0,train
Port-au-Prince is a name of a city.,1,0,1,0,0,0,0,0,train
Slovakia is a name of a city.,0,0,1,0,0,0,0,0,train
Republic of the Congo is a name of a city.,0,0,1,0,0,0,0,0,train
Burkina Faso is a name of a country.,1,0,1,0,0,0,0,0,train
Funafuti is a city in Tuvalu,1,0,1,0,0,0,0,0,train
Yamoussoukro is a city in South Sudan,0,0,1,0,0,0,0,0,train
Accra is a city in Ghana,1,0,1,0,0,0,0,0,train
Cook Islands is a name of a country.,1,0,1,0,0,0,0,0,train
Bucharest is a name of a country.,0,0,1,0,0,0,0,0,train
Oslo is a name of a city.,1,0,1,0,0,0,0,0,train
Willemstad is a name of a city.,1,0,1,0,0,0,0,0,train
Muscat is a city in American Samoa,0,0,1,0,0,0,0,0,train
Islamabad is a name of a country.,0,0,1,0,0,0,0,0,train
Swaziland is a name of a city.,0,0,1,0,0,0,0,0,train
St. George's is a city in Madagascar,0,0,1,0,0,0,0,0,train
Alofi is a name of a country.,0,0,1,0,0,0,0,0,train
Mongolia is a name of a city.,0,0,1,0,0,0,0,0,train
Honduras is a name of a city.,0,0,1,0,0,0,0,0,train
Mata-Utu is a name of a country.,0,0,1,0,0,0,0,0,train
Sana'a is a city in Monaco,0,0,1,0,0,0,0,0,train
Kingston is a name of a country.,0,0,1,0,0,0,0,0,train
Northern Cyprus is a name of a country.,1,0,1,0,0,0,0,0,train
Zimbabwe is a name of a city.,0,0,1,0,0,0,0,0,train
Oman is a name of a city.,0,0,1,0,0,0,0,0,train
Nigeria is a name of a city.,0,0,1,0,0,0,0,0,train
Gambia is a name of a country.,1,0,1,0,0,0,0,0,train
Amman is a name of a city.,1,0,1,0,0,0,0,0,train
The Valley is a name of a country.,0,0,1,0,0,0,0,0,train
Hamilton is a city in Bermuda,1,0,1,0,0,0,0,0,train
Accra is a city in Sudan,0,0,1,0,0,0,0,0,train
Tripoli is a name of a country.,0,0,1,0,0,0,0,0,train
Lomé is a name of a city.,1,0,1,0,0,0,0,0,train
Prague is a city in Transnistria,0,0,1,0,0,0,0,0,train
Ghana is a name of a country.,1,0,1,0,0,0,0,0,train
Kuwait City is a name of a city.,1,0,1,0,0,0,0,0,train
Tegucigalpa is a city in Russia,0,0,1,0,0,0,0,0,train
Qatar is a name of a country.,1,0,1,0,0,0,0,0,train
Asmara is a city in Belgium,0,0,1,0,0,0,0,0,train
Liechtenstein is a name of a country.,1,0,1,0,0,0,0,0,train
Copenhagen is a city in Denmark,1,0,1,0,0,0,0,0,train
Naypyidaw is a city in Burma,1,0,1,0,0,0,0,0,train
Riyadh is a name of a country.,0,0,1,0,0,0,0,0,train
Beijing is a city in Palau,0,0,1,0,0,0,0,0,train
Rome is a city in Italy,1,0,1,0,0,0,0,0,train
United Kingdom is a name of a country.,1,0,1,0,0,0,0,0,train
Road Town is a city in British Virgin Islands,1,0,1,0,0,0,0,0,train
Cuba is a name of a country.,1,0,1,0,0,0,0,0,train
Windhoek is a name of a city.,1,0,1,0,0,0,0,0,train
Castries is a name of a city.,1,0,1,0,0,0,0,0,train
Dakar is a name of a city.,1,0,1,0,0,0,0,0,train
Bucharest is a city in Cook Islands,0,0,1,0,0,0,0,0,train
Amsterdam is a city in Netherlands,1,0,1,0,0,0,0,0,train
Doha is a name of a city.,1,0,1,0,0,0,0,0,train
Ukraine is a name of a country.,1,0,1,0,0,0,0,0,train
Budapest is a city in Saint Pierre and Miquelon,0,0,1,0,0,0,0,0,train
Basseterre is a name of a country.,0,0,1,0,0,0,0,0,train
Ashgabat is a city in Turkmenistan,1,0,1,0,0,0,0,0,train
Japan is a name of a country.,1,0,1,0,0,0,0,0,train
Kuwait City is a name of a country.,0,0,1,0,0,0,0,0,train
Asmara is a city in Chile,0,0,1,0,0,0,0,0,train
San José is a name of a city.,1,0,1,0,0,0,0,0,train
New Zealand is a name of a city.,0,0,1,0,0,0,0,0,train
Flying Fish Cove is a city in Christmas Island,1,0,1,0,0,0,0,0,train
Montevideo is a city in Uruguay,1,0,1,0,0,0,0,0,train
Kathmandu is a city in Thailand,0,0,1,0,0,0,0,0,train
Tórshavn is a name of a city.,1,0,1,0,0,0,0,0,train
Algiers is a name of a country.,0,0,1,0,0,0,0,0,train
Maseru is a city in Lesotho,1,0,1,0,0,0,0,0,train
Hargeisa is a city in Somaliland,1,0,1,0,0,0,0,0,train
Valletta is a name of a city.,1,0,1,0,0,0,0,0,train
Papua New Guinea is a name of a city.,0,0,1,0,0,0,0,0,train
Naypyidaw is a name of a city.,1,0,1,0,0,0,0,0,train
Praia is a city in Cape Verde,1,0,1,0,0,0,0,0,train
Tirana is a city in Albania,1,0,1,0,0,0,0,0,train
Mauritius is a name of a country.,1,0,1,0,0,0,0,0,train
Dominica is a name of a country.,1,0,1,0,0,0,0,0,train
Taiwan is a name of a country.,1,0,1,0,0,0,0,0,train
Harare is a name of a country.,0,0,1,0,0,0,0,0,train
Mogadishu is a name of a country.,0,0,1,0,0,0,0,0,train
Niamey is a city in French Polynesia,0,0,1,0,0,0,0,0,train
Dublin is a name of a country.,0,0,1,0,0,0,0,0,train
Albania is a name of a city.,0,0,1,0,0,0,0,0,train
Yerevan is a city in Seychelles,0,0,1,0,0,0,0,0,train
Vilnius is a city in Lithuania,1,0,1,0,0,0,0,0,train
Cook Islands is a name of a city.,0,0,1,0,0,0,0,0,train
Dodoma is a city in Tanzania,1,0,1,0,0,0,0,0,train
El Salvador is a name of a city.,0,0,1,0,0,0,0,0,train
Marigot is a city in Niger,0,0,1,0,0,0,0,0,train
Gabon is a name of a country.,1,0,1,0,0,0,0,0,train
Belgium is a name of a country.,1,0,1,0,0,0,0,0,train
Plymouth is a city in Montserrat,1,0,1,0,0,0,0,0,train
Douglas is a city in Isle of Man,1,0,1,0,0,0,0,0,train
Avarua is a city in Guam,0,0,1,0,0,0,0,0,train
Stanley is a city in Falkland Islands,1,0,1,0,0,0,0,0,train
Monaco is a name of a city.,1,0,1,0,0,0,0,0,train
Adamstown is a name of a city.,1,0,1,0,0,0,0,0,train
Malta is a name of a city.,0,0,1,0,0,0,0,0,train
Kuwait City is a city in Kuwait,1,0,1,0,0,0,0,0,train
Central African Republic is a name of a country.,1,0,1,0,0,0,0,0,train
Charlotte Amalie is a city in United States Virgin Islands,1,0,1,0,0,0,0,0,train
Funafuti is a name of a city.,1,0,1,0,0,0,0,0,train
Ashgabat is a name of a country.,0,0,1,0,0,0,0,0,train
Sana'a is a name of a city.,1,0,1,0,0,0,0,0,train
Nouakchott is a city in Cameroon,0,0,1,0,0,0,0,0,train
Thailand is a name of a country.,1,0,1,0,0,0,0,0,train
Vatican City is a name of a country.,0,0,1,0,0,0,0,0,train
Fiji is a name of a city.,0,0,1,0,0,0,0,0,train
Berlin is a city in Vanuatu,0,0,1,0,0,0,0,0,train
Dili is a name of a country.,0,0,1,0,0,0,0,0,train
British Virgin Islands is a name of a country.,1,0,1,0,0,0,0,0,train
French Polynesia is a name of a city.,0,0,1,0,0,0,0,0,train
Doha is a name of a country.,0,0,1,0,0,0,0,0,train
Malabo is a city in Ivory Coast,0,0,1,0,0,0,0,0,train
Djibouti is a name of a country.,1,0,1,0,0,0,0,0,train
Montevideo is a name of a city.,1,0,1,0,0,0,0,0,train
Malé is a name of a city.,1,0,1,0,0,0,0,0,train
Kampala is a name of a city.,1,0,1,0,0,0,0,0,train
Vatican City is a city in Gibraltar,0,0,1,0,0,0,0,0,train
Oslo is a name of a country.,0,0,1,0,0,0,0,0,train
Sucre is a city in Ukraine,0,0,1,0,0,0,0,0,train
Belgrade is a city in Guinea-Bissau,0,0,1,0,0,0,0,0,train
Niamey is a city in Niger,1,0,1,0,0,0,0,0,train
Apia is a name of a city.,1,0,1,0,0,0,0,0,train
Pyongyang is a name of a country.,0,0,1,0,0,0,0,0,train
West Island is a city in Belize,0,0,1,0,0,0,0,0,train
Hanga Roa is a city in Easter Island,1,0,1,0,0,0,0,0,train
Nigeria is a name of a country.,1,0,1,0,0,0,0,0,train
Ethiopia is a name of a country.,1,0,1,0,0,0,0,0,train
Tiraspol is a name of a country.,0,0,1,0,0,0,0,0,train
Belgium is a name of a city.,0,0,1,0,0,0,0,0,train
Grytviken is a name of a city.,1,0,1,0,0,0,0,0,train
Warsaw is a city in South Georgia and the South Sandwich Islands,0,0,1,0,0,0,0,0,train
Seychelles is a name of a city.,0,0,1,0,0,0,0,0,train
Georgia is a name of a country.,1,0,1,0,0,0,0,0,train
San Marino is a name of a country.,1,0,1,0,0,0,0,0,train
Harare is a city in Zimbabwe,1,0,1,0,0,0,0,0,train
Tashkent is a city in Uzbekistan,1,0,1,0,0,0,0,0,train
Kingstown is a name of a country.,0,0,1,0,0,0,0,0,train
Conakry is a city in Guinea,1,0,1,0,0,0,0,0,train
Kingstown is a city in Fiji,0,0,1,0,0,0,0,0,train
Zagreb is a city in Croatia,1,0,1,0,0,0,0,0,train
Kigali is a city in Serbia,0,0,1,0,0,0,0,0,train
Libreville is a name of a city.,1,0,1,0,0,0,0,0,train
Swaziland is a name of a country.,1,0,1,0,0,0,0,0,train
George Town is a city in Cayman Islands,1,0,1,0,0,0,0,0,train
Managua is a city in Nicaragua,1,0,1,0,0,0,0,0,train
San Marino is a name of a city.,0,0,1,0,0,0,0,0,train
Germany is a name of a country.,1,0,1,0,0,0,0,0,train
Sri Jayawardenepura Kotte is a city in United Arab Emirates,0,0,1,0,0,0,0,0,train
Rwanda is a name of a city.,0,0,1,0,0,0,0,0,train
Nairobi is a name of a city.,1,0,1,0,0,0,0,0,train
Hargeisa is a name of a city.,1,0,1,0,0,0,0,0,train
Mogadishu is a name of a city.,1,0,1,0,0,0,0,0,train
Tirana is a city in Japan,0,0,1,0,0,0,0,0,train
Jamestown is a city in Honduras,0,0,1,0,0,0,0,0,train
Chile is a name of a country.,1,0,1,0,0,0,0,0,train
Italy is a name of a country.,1,0,1,0,0,0,0,0,train
Guatemala is a name of a city.,0,0,1,0,0,0,0,0,train
Stockholm is a city in India,0,0,1,0,0,0,0,0,train
São Tomé is a name of a city.,1,0,1,0,0,0,0,0,train
Helsinki is a city in Finland,1,0,1,0,0,0,0,0,train
Saint Pierre and Miquelon is a name of a country.,1,0,1,0,0,0,0,0,train
Grenada is a name of a country.,1,0,1,0,0,0,0,0,train
Juba is a city in Benin,0,0,1,0,0,0,0,0,train
Ljubljana is a name of a city.,1,0,1,0,0,0,0,0,train
Canberra is a name of a country.,0,0,1,0,0,0,0,0,train
Malabo is a city in Equatorial Guinea,1,0,1,0,0,0,0,0,train
Malaysia is a name of a city.,0,0,1,0,0,0,0,0,train
Angola is a name of a country.,1,0,1,0,0,0,0,0,train
Amsterdam is a name of a city.,1,0,1,0,0,0,0,0,train
Liechtenstein is a name of a city.,0,0,1,0,0,0,0,0,train
Guyana is a name of a city.,0,0,1,0,0,0,0,0,train
Stepanakert is a name of a country.,0,0,1,0,0,0,0,0,train
Brazil is a name of a city.,0,0,1,0,0,0,0,0,train
Tegucigalpa is a name of a city.,1,0,1,0,0,0,0,0,train
Astana is a city in Kazakhstan,1,0,1,0,0,0,0,0,train
Palikir is a city in Federated States of Micronesia,1,0,1,0,0,0,0,0,train
Bhutan is a name of a country.,1,0,1,0,0,0,0,0,train
Episkopi Cantonment is a city in Aruba,0,0,1,0,0,0,0,0,train
Malta is a name of a country.,1,0,1,0,0,0,0,0,train
Lomé is a name of a country.,0,0,1,0,0,0,0,0,train
Stanley is a name of a city.,1,0,1,0,0,0,0,0,train
Honiara is a city in Solomon Islands,1,0,1,0,0,0,0,0,train
Philipsburg is a name of a country.,0,0,1,0,0,0,0,0,train
Pristina is a city in Kosovo,1,0,1,0,0,0,0,0,train
Kuwait City is a city in Swaziland,0,0,1,0,0,0,0,0,train
India is a name of a country.,1,0,1,0,0,0,0,0,train
Vaduz is a name of a country.,0,0,1,0,0,0,0,0,train
Alofi is a city in Niue,1,0,1,0,0,0,0,0,train
Bissau is a city in Sri Lanka,0,0,1,0,0,0,0,0,train
Turkmenistan is a name of a country.,1,0,1,0,0,0,0,0,train
Tashkent is a city in Cape Verde,0,0,1,0,0,0,0,0,train
San Salvador is a city in Maldives,0,0,1,0,0,0,0,0,train
Benin is a name of a city.,0,0,1,0,0,0,0,0,train
Cambodia is a name of a country.,1,0,1,0,0,0,0,0,train
Tripoli is a city in Senegal,0,0,1,0,0,0,0,0,train
Brazzaville is a city in Republic of the Congo,1,0,1,0,0,0,0,0,train
Gibraltar is a city in Kuwait,0,0,1,0,0,0,0,0,train
Singapore is a name of a city.,0,0,1,0,0,0,0,0,train
Federated States of Micronesia is a name of a city.,0,0,1,0,0,0,0,0,train
Algiers is a name of a city.,1,0,1,0,0,0,0,0,train
Bamako is a name of a country.,0,0,1,0,0,0,0,0,train
Dodoma is a name of a city.,1,0,1,0,0,0,0,0,train
Marigot is a city in Jordan,0,0,1,0,0,0,0,0,train
Curaçao is a name of a city.,0,0,1,0,0,0,0,0,train
Doha is a city in Iraq,0,0,1,0,0,0,0,0,train
Nuku?alofa is a name of a city.,1,0,1,0,0,0,0,0,train
Tirana is a city in Faroe Islands,0,0,1,0,0,0,0,0,train
Georgetown is a name of a city.,1,0,1,0,0,0,0,0,train
Port Vila is a city in Nicaragua,0,0,1,0,0,0,0,0,train
Pristina is a name of a country.,0,0,1,0,0,0,0,0,train
Bridgetown is a city in Barbados,1,0,1,0,0,0,0,0,train
Panama City is a name of a city.,1,0,1,0,0,0,0,0,train
Republic of the Congo is a name of a country.,1,0,1,0,0,0,0,0,train
Russia is a name of a country.,1,0,1,0,0,0,0,0,train
Cockburn Town is a city in Turks and Caicos Islands,1,0,1,0,0,0,0,0,train
Luanda is a name of a country.,0,0,1,0,0,0,0,0,train
Tallinn is a name of a country.,0,0,1,0,0,0,0,0,train
New Delhi is a name of a country.,0,0,1,0,0,0,0,0,train
Algeria is a name of a country.,1,0,1,0,0,0,0,0,train
Monaco is a city in Monaco,1,0,1,0,0,0,0,0,train
Grytviken is a name of a country.,0,0,1,0,0,0,0,0,train
Helsinki is a name of a country.,0,0,1,0,0,0,0,0,train
Slovenia is a name of a city.,0,0,1,0,0,0,0,0,train
Ouagadougou is a city in Burkina Faso,1,0,1,0,0,0,0,0,train
Quito is a name of a country.,0,0,1,0,0,0,0,0,train
Freetown is a name of a city.,1,0,1,0,0,0,0,0,train
Yamoussoukro is a name of a country.,0,0,1,0,0,0,0,0,train
Nouakchott is a city in Lebanon,0,0,1,0,0,0,0,0,train
Porto-Novo is a city in Norfolk Island,0,0,1,0,0,0,0,0,train
Democratic Republic of the Congo is a name of a city.,0,0,1,0,0,0,0,0,train
Thimphu is a city in Qatar,0,0,1,0,0,0,0,0,train
French Guiana is a name of a country.,1,0,1,0,0,0,0,0,train
Washington D.C. is a city in United States,1,0,1,0,0,0,0,0,train
Malé is a name of a country.,0,0,1,0,0,0,0,0,train
Avarua is a name of a city.,1,0,1,0,0,0,0,0,train
Asunción is a name of a country.,0,0,1,0,0,0,0,0,train
Ouagadougou is a name of a country.,0,0,1,0,0,0,0,0,train
Djibouti is a city in Djibouti,1,0,1,0,0,0,0,0,train
San Juan is a city in Puerto Rico,1,0,1,0,0,0,0,0,train
Khartoum is a city in Sudan,1,0,1,0,0,0,0,0,train
Tashkent is a name of a country.,0,0,1,0,0,0,0,0,train
Indonesia is a name of a city.,0,0,1,0,0,0,0,0,train
Cyprus is a name of a city.,0,0,1,0,0,0,0,0,train
Sudan is a name of a city.,0,0,1,0,0,0,0,0,train
Havana is a name of a country.,0,0,1,0,0,0,0,0,train
St. Pierre is a city in Saint Pierre and Miquelon,1,0,1,0,0,0,0,0,train
Porto-Novo is a city in Benin,1,0,1,0,0,0,0,0,train
Stockholm is a city in Sweden,1,0,1,0,0,0,0,0,train
Freetown is a city in Lesotho,0,0,1,0,0,0,0,0,train
Marigot is a name of a country.,0,0,1,0,0,0,0,0,train
Abuja is a name of a country.,0,0,1,0,0,0,0,0,train
Pago Pago is a name of a city.,1,0,1,0,0,0,0,0,train
Poland is a name of a city.,0,0,1,0,0,0,0,0,train
Bangkok is a name of a country.,0,0,1,0,0,0,0,0,train
Iraq is a name of a country.,1,0,1,0,0,0,0,0,train
Tanzania is a name of a country.,1,0,1,0,0,0,0,0,train
Warsaw is a name of a city.,1,0,1,0,0,0,0,0,train
N'Djamena is a name of a country.,0,0,1,0,0,0,0,0,train
Antigua and Barbuda is a name of a country.,1,0,1,0,0,0,0,0,train
Monrovia is a name of a city.,1,0,1,0,0,0,0,0,train
Tallinn is a city in Estonia,1,0,1,0,0,0,0,0,train
Roseau is a name of a country.,0,0,1,0,0,0,0,0,train
Iran is a name of a country.,1,0,1,0,0,0,0,0,train
Liberia is a name of a country.,1,0,1,0,0,0,0,0,train
Baku is a name of a city.,1,0,1,0,0,0,0,0,train
Manila is a name of a city.,1,0,1,0,0,0,0,0,train
Windhoek is a name of a country.,0,0,1,0,0,0,0,0,train
Macedonia is a name of a country.,1,0,1,0,0,0,0,0,train
Burkina Faso is a name of a city.,0,0,1,0,0,0,0,0,train
Kosovo is a name of a country.,1,0,1,0,0,0,0,0,train
Libya is a name of a country.,1,0,1,0,0,0,0,0,train
Brasília is a name of a city.,1,0,1,0,0,0,0,0,train
Prague is a city in Cyprus,0,0,1,0,0,0,0,0,train
Turkey is a name of a city.,0,0,1,0,0,0,0,0,train
Monaco is a name of a country.,0,0,1,0,0,0,0,0,train
Madrid is a city in Burundi,0,0,1,0,0,0,0,0,train
Maldives is a name of a country.,1,0,1,0,0,0,0,0,train
Banjul is a name of a city.,1,0,1,0,0,0,0,0,train
Tiraspol is a name of a city.,1,0,1,0,0,0,0,0,train
Georgetown is a city in Mauritania,0,0,1,0,0,0,0,0,train
Panama is a name of a city.,0,0,1,0,0,0,0,0,train
Laos is a name of a city.,0,0,1,0,0,0,0,0,train
Bern is a city in Switzerland,1,0,1,0,0,0,0,0,train
Tbilisi is a name of a country.,0,0,1,0,0,0,0,0,train
Juba is a name of a country.,0,0,1,0,0,0,0,0,train
Baghdad is a name of a country.,0,0,1,0,0,0,0,0,train
Gaborone is a name of a city.,1,0,1,0,0,0,0,0,train
Quito is a name of a city.,1,0,1,0,0,0,0,0,train
Road Town is a name of a city.,1,0,1,0,0,0,0,0,train
Marigot is a city in Saint Martin,1,0,1,0,0,0,0,0,train
Nassau is a name of a city.,1,0,1,0,0,0,0,0,train
Vaduz is a city in Colombia,0,0,1,0,0,0,0,0,train
Libreville is a name of a country.,0,0,1,0,0,0,0,0,train
Sucre is a name of a city.,1,0,1,0,0,0,0,0,train
Yerevan is a city in Armenia,1,0,1,0,0,0,0,0,train
Apia is a city in Samoa,1,0,1,0,0,0,0,0,train
Tunis is a name of a country.,0,0,1,0,0,0,0,0,train
Tristan da Cunha is a name of a country.,1,0,1,0,0,0,0,0,train
Episkopi Cantonment is a name of a city.,1,0,1,0,0,0,0,0,train
George Town is a name of a city.,1,0,1,0,0,0,0,0,train
Bujumbura is a city in Burundi,1,0,1,0,0,0,0,0,train
Bandar Seri Begawan is a city in Brunei,1,0,1,0,0,0,0,0,train
Brussels is a city in Belgium,1,0,1,0,0,0,0,0,train
Lebanon is a name of a city.,0,0,1,0,0,0,0,0,train
South Ossetia is a name of a country.,1,0,1,0,0,0,0,0,train
Yemen is a name of a country.,1,0,1,0,0,0,0,0,train
Somaliland is a name of a city.,0,0,1,0,0,0,0,0,train
Nouméa is a name of a city.,1,0,1,0,0,0,0,0,train
Sofia is a city in Estonia,0,0,1,0,0,0,0,0,train
South Georgia and the South Sandwich Islands is a name of a country.,1,0,1,0,0,0,0,0,train
Norfolk Island is a name of a country.,1,0,1,0,0,0,0,0,train
Albania is a name of a country.,1,0,1,0,0,0,0,0,train
Uzbekistan is a name of a city.,0,0,1,0,0,0,0,0,train
Mozambique is a name of a city.,0,0,1,0,0,0,0,0,train
Vanuatu is a name of a city.,0,0,1,0,0,0,0,0,train
Kampala is a city in Uganda,1,0,1,0,0,0,0,0,train
Bandar Seri Begawan is a name of a city.,1,0,1,0,0,0,0,0,train
Manila is a city in Poland,0,0,1,0,0,0,0,0,train
Eritrea is a name of a country.,1,0,1,0,0,0,0,0,train
Bangladesh is a name of a country.,1,0,1,0,0,0,0,0,train
Maputo is a city in Mozambique,1,0,1,0,0,0,0,0,train
Nicosia is a city in Lithuania,0,0,1,0,0,0,0,0,train
Pago Pago is a city in Gambia,0,0,1,0,0,0,0,0,train
Conakry is a name of a country.,0,0,1,0,0,0,0,0,train
Yamoussoukro is a city in Ivory Coast,1,0,1,0,0,0,0,0,train
North Korea is a name of a country.,1,0,1,0,0,0,0,0,train
St. Peter Port is a name of a city.,1,0,1,0,0,0,0,0,train
United States is a name of a city.,0,0,1,0,0,0,0,0,train
South Sudan is a name of a country.,1,0,1,0,0,0,0,0,train
Mbabane is a name of a city.,1,0,1,0,0,0,0,0,train
West Island is a name of a country.,0,0,1,0,0,0,0,0,train
Wallis and Futuna is a name of a country.,1,0,1,0,0,0,0,0,train
Nuku?alofa is a city in Federated States of Micronesia,0,0,1,0,0,0,0,0,train
Minsk is a name of a city.,1,0,1,0,0,0,0,0,train
Port of Spain is a name of a country.,0,0,1,0,0,0,0,0,train
American Samoa is a name of a city.,0,0,1,0,0,0,0,0,train
Tehran is a city in Iran,1,0,1,0,0,0,0,0,train
Moscow is a city in Russia,1,0,1,0,0,0,0,0,train
Nicosia is a name of a country.,0,0,1,0,0,0,0,0,train
Israel is a name of a country.,1,0,1,0,0,0,0,0,train
St. Helier is a name of a country.,0,0,1,0,0,0,0,0,train
Mogadishu is a city in Somalia,1,0,1,0,0,0,0,0,train
Argentina is a name of a country.,1,0,1,0,0,0,0,0,train
Lisbon is a name of a country.,0,0,1,0,0,0,0,0,train
Anguilla is a name of a country.,1,0,1,0,0,0,0,0,train
Edinburgh of the Seven Seas is a name of a city.,1,0,1,0,0,0,0,0,train
Abkhazia is a name of a city.,0,0,1,0,0,0,0,0,train
Equatorial Guinea is a name of a city.,0,0,1,0,0,0,0,0,train
Kathmandu is a city in Tristan da Cunha,0,0,1,0,0,0,0,0,train
Cape Verde is a name of a city.,0,0,1,0,0,0,0,0,train
Alofi is a name of a city.,1,0,1,0,0,0,0,0,train
Belgrade is a city in Burma,0,0,1,0,0,0,0,0,train
Islamabad is a city in Morocco,0,0,1,0,0,0,0,0,train
Palikir is a name of a city.,1,0,1,0,0,0,0,0,train
Ascension Island is a name of a country.,1,0,1,0,0,0,0,0,train
Accra is a name of a country.,0,0,1,0,0,0,0,0,train
Guinea is a name of a city.,0,0,1,0,0,0,0,0,train
Bulgaria is a name of a city.,0,0,1,0,0,0,0,0,train
Valletta is a name of a country.,0,0,1,0,0,0,0,0,train
Panama City is a city in Panama,1,0,1,0,0,0,0,0,train
Majuro is a name of a country.,0,0,1,0,0,0,0,0,train
Marshall Islands is a name of a country.,1,0,1,0,0,0,0,0,train
Manama is a name of a city.,1,0,1,0,0,0,0,0,train
Prague is a name of a city.,1,0,1,0,0,0,0,0,train
Port Moresby is a city in Papua New Guinea,1,0,1,0,0,0,0,0,train
